ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011
HD01_VD147,"Athletes, coaches, umpires, and related workers",123505,109943,123608,114456,102274,106927,46393,45098,42873,43373,41844,43877
HD01_VD103,Atmospheric and space scientists,10037,8367,8973,10661,9218,9204,90434,82852,84118,69873,69695,70990
HD01_VD169,Audiologists,11195,12077,10476,10771,9174,10061,72760,73355,72709,76440,73414,75388
HD01_VD509,Automotive and watercraft service attendants,59150,53855,51714,67748,64116,64251,23322,22502,21903,22312,21737,21544
HD01_VD388,Automotive body and related repairers,119554,121541,120366,113922,121305,126702,40841,40400,38069,38943,37152,35876
HD01_VD389,Automotive glass installers and repairers,13994,15158,14403,14117,15946,14595,36565,40198,35875,36325,33763,35392
HD01_VD390,Automotive service technicians and mechanics,726437,704917,708988,681551,664005,659739,36634,36456,35783,35491,35624,35494
HD01_VD380,Avionics technicians,14223,17537,17128,17066,15241,15207,53595,54056,56452,51056,53401,51638
HD01_VD254,"Baggage porters, bellhops, and concierges",60412,58186,58485,59390,52006,51852,31604,31802,30649,31416,31066,31201
HD01_VD210,"Bailiffs, correctional officers, and jailers",375720,376460,396206,387955,389786,390151,44807,43558,43548,42043,41879,41574
HD01_VD419,Bakers,148282,139172,134823,131066,124161,121867,25848,24833,24716,23666,25037,23106
HD01_VD251,Barbers,68864,65578,69049,68648,67662,67906,25416,24353,25380,21874,24046,24310
HD01_VD226,Bartenders,226847,212346,206547,203401,187841,183245,29375,27471,26711,26403,25301,24552
HD01_VD283,Bill and account collectors,123438,132795,141345,142343,155232,168620,35448,35374,33001,33453,32586,32471
HD01_VD284,Billing and posting clerks,396298,387079,375964,386492,387454,365241,35026,34158,33078,32487,32248,31809
HD01_VD98,Biological scientists,65111,62763,57529,60924,65611,65795,61171,61141,62045,57426,56791,55812
HD01_VD113,Biological technicians,16216,17556,18297,13985,15198,16308,49041,50100,47322,45798,42510,47113
HD01_VD80,Biomedical engineers,12988,11102,12151,12371,14135,12556,82150,76167,85212,78629,84736,82500
HD01_VD340,Boilermakers,10997,13130,12626,9092,10032,15056,55239,57242,55449,55887,51855,49787
HD01_VD285,"Bookkeeping, accounting, and auditing clerks",829531,824256,821268,874662,891464,896679,39329,37498,37260,36798,36228,35971
HD01_VD341,"Brickmasons, blockmasons, and stonemasons",98752,87393,80656,77234,76797,64080,33569,36511,33296,31967,34092,32708
HD01_VD507,Bridge and lock tenders,3937,4370,2746,3240,3291,3196,52388,52147,50870,45080,52337,51013
HD01_VD291,Brokerage clerks,5600,5325,6566,5857,6749,7565,47489,46724,44597,46129,45624,43005
HD01_VD50,Budget analysts,42410,42992,42931,41799,41144,39936,71237,75207,73617,70429,69512,66028
HD01_VD391,Bus and truck mechanics and diesel engine specialists,274372,270500,244443,259470,266191,248562,45320,44669,44796,42775,41564,41787
HD01_VD496,Bus drivers,280228,288778,267775,275991,271162,261662,35222,32398,32414,32725,32245,31836
HD01_VD47,"Business operations specialists, all other",236553,240307,234988,211970,191149,188173,61811,61388,57650,56945,55816,52494
HD01_VD420,"Butchers and other meat, poultry, and fish processing workers",202694,207420,190986,203134,208924,204008,29474,28372,28251,26999,26828,27048
HD01_VD33,"Buyers and purchasing agents, farm products",7795,8890,7705,7184,7584,10695,66349,50504,44818,51036,47481,56809
HD01_VD461,Cabinetmakers and bench carpenters,44283,39703,43107,38783,39514,36178,35113,32256,31453,31379,32150,30813
HD01_VD308,Cargo and freight agents,18080,17014,15275,16189,15611,14689,39230,37286,40517,42040,38143,43597
HD01_VD342,Carpenters,863456,815108,785306,677720,662186,641794,36344,35859,34967,34496,34204,33782
HD01_VD343,"Carpet, floor, and tile installers and finishers",115722,102910,101337,94438,86189,80518,34531,31201,31696,31025,30363,28023
HD01_VD263,Cashiers,1019364,1005103,964264,1042284,1081936,1059014,21000,20671,20251,20562,20217,20204
HD01_VD344,"Cement masons, concrete finishers, and terrazzo workers",37336,34416,35697,37067,29508,29012,37227,33736,32090,35716,32148,31075
HD01_VD222,Chefs and head cooks,346683,328344,317690,303612,280455,265603,31461,30443,30912,30267,29560,30590
HD01_VD81,Chemical engineers,57812,56266,50207,53119,52413,48363,100425,100960,98259,100231,91154,94446
HD01_VD470,"Chemical processing machine setters, operators, and tenders",48578,48836,49740,49659,49991,40541,51853,50240,51330,50608,50175,53769
HD01_VD114,Chemical technicians,56741,59673,59973,51689,61737,58824,52188,52119,51100,50982,50132,50274
HD01_VD104,Chemists and materials scientists,77023,74050,75390,71161,73652,73137,70594,67342,68111,69780,68827,66667
HD01_VD02,Chief executives,1068258,1040875,1013853,1024259,937218,912102,130266,126200,122136,120254,120139,110242
HD01_VD256,Childcare workers,551286,542799,538900,536474,536255,546758,21395,21100,20642,20056,19289,19098
HD01_VD161,Chiropractors,40960,35155,39109,34499,37019,37174,80466,76291,71112,70513,65601,62396
HD01_VD82,Civil engineers,311007,276172,263869,257802,258367,254977,86606,82611,81639,81233,81673,80983
HD01_VD36,"Claims adjusters, appraisers, examiners, and investigators",271129,264364,267839,257730,255186,253389,52582,51638,51001,51134,50706,50038
HD01_VD518,Cleaners of vehicles and equipment,225496,224675,217057,197864,199448,185732,25839,24242,24655,23751,23313,23082
HD01_VD483,"Cleaning, washing, and metal pickling equipment operators and tenders",3785,4471,5395,6098,4977,5798,31971,22363,30043,31567,29310,23810
HD01_VD124,Clergy,347581,329537,334788,339774,322726,333174,45502,44518,43671,44422,41887,41919
HD01_VD183,Clinical laboratory technologists and technicians,245278,246437,240655,245751,262125,262118,48170,47531,46116,45326,46202,44180
HD01_VD405,"Coin, vending, and amusement machine servicers and repairers",26515,24663,26705,26854,31732,31226,36449,36519,35071,35333,33123,34274
HD01_VD227,"Combined food preparation and serving workers, including fast food",141425,134080,127802,114984,126055,121983,20518,20333,19301,19623,18602,17813
HD01_VD406,Commercial divers,4002,3656,1751,2277,2781,1762,37395,42491,35756,50511,50398,59176
HD01_VD282,"Communications equipment operators, all other",6802,6186,8194,6543,5554,7927,43269,50186,50845,46847,39375,38666
HD01_VD11,Compensation and benefits managers,17074,18273,13138,14656,13616,12656,71605,77079,80417,71927,69247,74862
HD01_VD40,"Compensation, benefits, and job analysis specialists",47978,49272,42428,53127,50190,55240,54108,50547,50075,50968,50879,51466
HD01_VD37,Compliance officers,226344,203916,188361,193020,173104,186614,69262,65541,65105,62311,62255,61975
HD01_VD60,Computer and information research scientists,16406,16892,13529,12993,12069,13171,101205,80981,102201,95918,84284,96140
HD01_VD09,Computer and information systems managers,564747,550033,501450,489048,486503,478816,103513,101338,100247,99167,96158,94327
HD01_VD425,Computer control programmers and operators,84907,84644,73475,72368,70745,60015,44235,42704,44477,41755,41047,42272
HD01_VD83,Computer hardware engineers,48767,47062,48738,51453,54108,54692,93870,95440,92845,91967,91616,84481
HD01_VD69,Computer network architects,92872,103813,97510,91709,92702,87369,98374,95506,92623,96372,90886,91112
